split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
3,price_only_random_forest,next_5d_positive_return,0.468,0.41516639388979815,0.5664739884393064,0.6282051282051282,0.5957446808510638,0.2775953586593131,0.624,0.692,0.0,250.0,0.39948172394980913,2023-01-03,2023-12-29
4,price_only_baseline_majority,next_5d_positive_return,0.6587301587301587,0.5,0.6587301587301587,1.0,0.7942583732057417,0.3412698412698413,0.6587301587301587,1.0,1.0,252.0,0.5,,
4,price_only_logistic,next_5d_positive_return,0.6587301587301587,0.5,0.6587301587301587,1.0,0.7942583732057417,0.22721336556701788,0.6587301587301587,1.0,1.0,252.0,0.5710983468758756,2024-01-02,2024-12-31
4,price_only_logistic_l2,next_5d_positive_return,0.6587301587301587,0.5,0.6587301587301587,1.0,0.7942583732057417,0.22721336556701788,0.6587301587301587,1.0,1.0,252.0,0.5710983468758756,2024-01-02,2024-12-31
4,price_only_logistic_elasticnet,next_5d_positive_return,0.6587301587301587,0.5,0.6587301587301587,1.0,0.7942583732057417,0.22711112842253692,0.6587301587301587,1.0,1.0,252.0,0.6059820678061081,2024-01-02,2024-12-31
4,price_only_random_forest,next_5d_positive_return,0.6150793650793651,0.5116979546091343,0.6650717703349283,0.8373493975903614,0.7413333333333333,0.2275481826495259,0.6587301587301587,0.8293650793650794,0.0,252.0,0.5677360605211543,2024-01-02,2024-12-31
5,price_only_baseline_majority,next_5d_positive_return,0.636,0.5,0.636,1.0,0.7775061124694377,0.364,0.636,1.0,1.0,250.0,0.5,,
5,price_only_logistic,next_5d_positive_return,0.636,0.5,0.636,1.0,0.7775061124694377,0.23271336495957495,0.636,1.0,1.0,250.0,0.46527057847812564,2025-01-02,2025-12-31
5,price_only_logistic_l2,next_5d_positive_return,0.636,0.5,0.636,1.0,0.7775061124694377,0.23271336495957495,0.636,1.0,1.0,250.0,0.46527057847812564,2025-01-02,2025-12-31
5,price_only_logistic_elasticnet,next_5d_positive_return,0.636,0.5,0.636,1.0,0.7775061124694377,0.23241863629055895,0.636,1.0,1.0,250.0,0.4788167807035731,2025-01-02,2025-12-31
5,price_only_random_forest,next_5d_positive_return,0.648,0.5611306932061649,0.6698564593301436,0.8805031446540881,0.7608695652173914,0.23196187036380736,0.636,0.836,0.0,250.0,0.5314810975188333,2025-01-02,2025-12-31
6,price_only_baseline_majority,next_5d_positive_return,0.5818181818181818,0.5,0.5818181818181818,1.0,0.735632183908046,0.41818181818181815,0.5818181818181818,1.0,1.0,110.0,0.5,,
6,price_only_logistic,next_5d_positive_return,0.5818181818181818,0.5,0.5818181818181818,1.0,0.735632183908046,0.24511011038883668,0.5818181818181818,1.0,1.0,110.0,0.4599184782608696,2026-01-02,2026-06-10
6,price_only_logistic_l2,next_5d_positive_return,0.5818181818181818,0.5,0.5818181818181818,1.0,0.735632183908046,0.24511011038883668,0.5818181818181818,1.0,1.0,110.0,0.4599184782608696,2026-01-02,2026-06-10
6,price_only_logistic_elasticnet,next_5d_positive_return,0.5818181818181818,0.5,0.5818181818181818,1.0,0.735632183908046,0.24475322262816124,0.5818181818181818,1.0,1.0,110.0,0.46501358695652173,2026-01-02,2026-06-10
